step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.355340926276526,0,0.0,0.9097167058503804,0,0.0
10.0,0,0.0,0.0,12.634405796581506,0,0.0,0.9290968934837732,0,0.0
15.0,6,10.0,0.5555555555555556,6.97067263798826,6,10.0,0.39121990941133805,6,10.0
20.0,8,47.0,2.611111111111111,6.89371820042455,8,47.0,0.3706322052674752,8,47.0
25.0,8,87.0,4.142857142857143,6.737265633566138,8,87.0,0.39950175560450363,8,87.0
30.0,6,93.0,4.65,5.591014629373623,6,97.0,0.34534795509342503,6,97.0
35.0,10,135.0,5.625,6.489796208790889,10,135.0,0.321034904802212,10,135.0
40.0,12,192.0,6.857142857142857,6.659219408341032,12,192.0,0.3544187329591335,12,192.0
45.0,8,189.0,6.75,6.17679087136744,8,222.0,0.38384538470073987,8,222.0
50.0,8,216.0,7.714285714285714,5.994543977441088,8,224.0,0.28532065958719266,8,224.0
55.0,12,273.0,8.53125,7.740746550012512,12,273.0,0.30048850654651493,12,273.0
60.0,12,333.0,12.807692307692308,6.218387243007401,12,333.0,0.22479733336257748,12,333.0
65.0,10,364.0,12.551724137931034,6.6966932997746405,10,367.0,0.3939074306568573,10,367.0
70.0,11,416.0,17.333333333333332,5.421615769955191,11,416.0,0.27823192841523314,11,416.0
75.0,14,484.0,13.444444444444445,6.672442890557975,14,484.0,0.38223867474880346,14,484.0
80.0,12,521.0,16.28125,6.056966965530966,12,542.0,0.3964266552862523,12,542.0
85.0,12,569.0,15.805555555555555,5.065689155996401,12,576.0,0.3004879381699278,12,576.0
90.0,18,649.0,18.02777777777778,6.146784940985459,18,649.0,0.24279296778494946,18,649.0
95.0,18,739.0,19.972972972972972,5.942001109007021,18,739.0,0.25351368294455146,18,739.0
100.0,20,835.0,26.93548387096774,4.438483552075017,20,835.0,0.19965395355073456,20,835.0
105.0,20,935.0,27.5,4.880403100156844,20,935.0,0.24643172537461128,20,935.0
110.0,21,1038.0,28.054054054054053,5.010654360672372,21,1038.0,0.27912658002680407,21,1038.0
115.0,22,1148.0,30.210526315789473,5.368532182259466,22,1148.0,0.2984859248736107,22,1148.0
120.0,19,1129.0,29.710526315789473,3.298519675441524,19,1192.0,0.14097982379110008,19,1192.0
125.0,22,1237.0,30.925,4.790249276295407,22,1237.0,0.2195680047743862,22,1237.0
130.0,25,1354.0,33.85,4.4258513758268965,25,1354.0,0.17894675602960025,25,1354.0
135.0,20,1425.0,33.92857142857143,4.47209505895628,20,1446.0,0.1726844699777363,20,1446.0
140.0,20,1525.0,40.13157894736842,5.535804876586272,20,1525.0,0.24861699619505903,20,1525.0
145.0,22,1627.0,38.73809523809524,6.555138290384101,22,1627.0,0.28790505599420696,22,1627.0
150.0,16,991.0,23.595238095238095,5.838128030600286,16,1458.0,0.32864863842723785,16,1458.0
155.0,10,452.0,11.894736842105264,5.560346629339272,10,1053.0,0.28194183641101606,10,1053.0
160.0,13,503.0,11.976190476190476,6.966448896605163,13,640.0,0.31330395680779316,13,640.0
165.0,12,534.0,14.432432432432432,4.925487303558469,12,684.0,0.1851014541451746,12,684.0
170.0,20,615.0,16.18421052631579,5.386546054339339,20,752.0,0.24365451400705035,20,752.0
175.0,20,715.0,19.86111111111111,5.874404214194607,20,852.0,0.21408918851437983,20,852.0
180.0,20,815.0,23.970588235294116,4.745399225066562,20,952.0,0.15406205075723406,20,952.0
185.0,16,749.0,20.805555555555557,5.18633440500566,16,972.0,0.30705168316189646,16,972.0
190.0,16,814.0,22.0,5.856386150170612,16,959.0,0.32170477841901934,16,959.0
195.0,20,907.0,23.86842105263158,5.611876350501247,20,1044.0,0.2010016240537829,20,1044.0
200.0,18,975.0,26.35135135135135,4.193921138493671,18,1128.0,0.19802393727037584,18,1128.0
205.0,18,1065.0,29.583333333333332,5.063355910327671,18,1202.0,0.2317588442069045,18,1202.0
210.0,20,1161.0,30.55263157894737,6.129325812358017,20,1298.0,0.234852722832172,20,1298.0
215.0,19,1247.0,35.628571428571426,5.381932904795545,19,1384.0,0.21760606237043567,19,1384.0
220.0,20,1343.0,33.575,5.389266174539162,20,1480.0,0.29917658141568443,20,1480.0
225.0,23,1455.0,37.30769230769231,4.32706079518212,23,1592.0,0.23031771604576215,23,1592.0
230.0,24,1530.0,36.42857142857143,3.1227617856954493,24,1689.0,0.1751305628347135,24,1689.0
235.0,25,1655.0,40.36585365853659,4.523223063808221,25,1792.0,0.2078238825457198,25,1792.0
240.0,25,1780.0,40.45454545454545,5.325427678682474,25,1917.0,0.17006959817549056,25,1917.0
245.0,27,1912.0,46.63414634146341,4.590209080807814,27,2049.0,0.17683139672016934,27,2049.0
250.0,27,2047.0,48.73809523809524,4.430834588595498,27,2184.0,0.14582982505389516,27,2184.0
255.0,24,2130.0,49.53488372093023,4.759931066689444,24,2279.0,0.2613780141238599,24,2279.0
260.0,24,2250.0,50.0,4.1298869117017745,24,2387.0,0.1881114503317128,24,2387.0
